Vessel Name,Voyage,Local Voyage,Service,ETA Berth,ETD,Terminal
TS VANCOUVER,13SJ6N,23003S,MALAYSIA FEEDER 3 (MA3APL),10/03/2023 12:00,10/03/2023 14:00,PSA TERMINAL
NORFOLK,06LF1S1MA,107,KIX ANL (KIXANL),10/03/2023 13:30,10/04/2023 21:30,PSA TERMINAL
SUMBER JAYA 22,W106FN,QB363,South East Asia Feeder 1 (SEASIA1),10/03/2023 13:55,10/03/2023 14:55,PSA TERMINAL
KOTA DUNIA,2017ZE,0466E,South East Asia Feeder 70 (SEASIA70),10/03/2023 14:00,10/04/2023 15:00,PSA TERMINAL
BATAMINDO III,C45J0S,93367S,Batamindo Feeder Service (BATAMAPL),10/03/2023 14:55,10/03/2023 17:54,PSA TERMINAL
GOLDEN STAR 1,7233TN,6225S,South East Asia Feeder 13 (SEASIA13),10/03/2023 17:00,10/04/2023 09:00,PSA TERMINAL
MARCOPOLO 262,0932ZR,BS029,South East Asia Feeder 11 (SEASIA11),10/03/2023 17:00,10/04/2023 15:00,PSA TERMINAL
SAMUDRA BINTAN 88,W306FN,03K23P,South East Asia Feeder 1 (SEASIA1),10/03/2023 17:30,10/04/2023 08:30,PSA TERMINAL
XIN HUI ZHOU,0HM8DS1MA,178S,China Malaysia Service 2 (CMS2CNC),10/03/2023 20:00,10/04/2023 11:00,PSA TERMINAL
MARCOPOLO 148,5278AR,PS103,South East Asia Feeder 49 (SEASIA49),10/03/2023 22:00,10/04/2023 12:00,PSA TERMINAL
GSL ELIZABETH,545D7W,001W,PORT KELANG MUNDRA COLOMBO SERVICE (C3MAPL),10/03/2023 23:09,10/04/2023 22:09,PSA TERMINAL
MTT SIBU,C293DW,J062S,SGSIN MYPGU SGSIN Service (PGU1APL),10/04/2023 02:00,10/04/2023 20:00,PSA TERMINAL
WAN HAI 509,1QY7LS1MA,S130,China South East Asia Loop 1 (CS1CNC),10/04/2023 04:00,10/05/2023 04:00,PSA TERMINAL
PACIFIC SUN 1,X6T1YN,,South East Asia Feeder 2 (SEASIA2),10/04/2023 05:00,10/04/2023 07:00,PSA TERMINAL
WAN FU DA,4194YS,196S,Vietnam Singapore Feeder (VS2APL),10/04/2023 05:00,10/05/2023 09:00,PSA TERMINAL
AKA BHUM,0FB9ME1MA,016E,China India Express (CIX),10/04/2023 08:00,10/05/2023 04:00,PSA TERMINAL
MAERSK KWANGYANG,29SH4R,,SEA CHINA CHITTAGONG SERVICE (SO1APL),10/04/2023 08:00,10/05/2023 11:00,PSA TERMINAL
CAPRICORN 57,W166FN,MB063,South East Asia Feeder 1 (SEASIA1),10/04/2023 07:30,10/04/2023 08:30,PSA TERMINAL
MCP LINZ,3452VR,102E,South East Asia Feeder 8 (SEASIA8),10/04/2023 08:00,10/04/2023 12:00,PSA TERMINAL
TBN FEEDER 12,OQTZ4R,,AF Service (AFSRV),10/04/2023 08:00,10/04/2023 16:00,PSA TERMINAL
SINAR BUKITTINGI,3442VR,,South East Asia Feeder 8 (SEASIA8),10/04/2023 09:00,10/05/2023 10:00,PSA TERMINAL
MARCOPOLO 906,179J4S,OS017,Englee Feeder Service (MAREXT),10/04/2023 10:35,10/04/2023 11:35,PSA TERMINAL
MARCOPOLO 906,179J4S,OS017,Englee Feeder Service (MAREXT),10/04/2023 10:35,10/04/2023 11:35,PSA TERMINAL
SINAR SUNDA,4164YN,150N,Vietnam Singapore Feeder (VS2APL),10/04/2023 12:00,10/05/2023 16:00,PSA TERMINAL
MARCOPOLO 182,70655R,TS042,Feeder of IDTTI to SGSIN (TTIAPL),10/04/2023 14:00,10/05/2023 15:00,PSA TERMINAL
SELATAN DAMAI,3713WW,,South East Asia Feeder 15 (SEASIA15),10/04/2023 15:20,10/05/2023 09:20,PSA TERMINAL
CAPRICORN 59,W286FN,RB701,South East Asia Feeder 1 (SEASIA1),10/04/2023 15:35,10/05/2023 01:35,PSA TERMINAL
MTT SIBU,6031YN,J062S,South East Asia Feeder 2 (SEASIA2),10/04/2023 16:00,10/04/2023 19:00,PSA TERMINAL
NAJADE,434D5W,45834E,MADRAS SERVICE 2 (MD2APL),10/04/2023 16:00,10/05/2023 20:00,PSA TERMINAL
MTT MUARA,2354QE,215W,South East Asia Feeder 18 (SEASIA18),10/04/2023 17:00,10/04/2023 18:00,PSA TERMINAL
MARCO POLO 128,5468AR,PS371,South East Asia Feeder 49 (SEASIA49),10/04/2023 17:30,10/05/2023 07:30,PSA TERMINAL
SINAR SIANTAR,87353W,022N,SGN-BEL Feeder Service (SGBEAPL),10/04/2023 18:00,10/05/2023 19:00,PSA TERMINAL
APL TBN 18,3312VR,,South East Asia Feeder 8 (SEASIA8),10/04/2023 19:00,10/04/2023 20:00,PSA TERMINAL
ATI BHUM,189E1N,301NE,RCL Palembang Pasir Gudang Service (RPE2ATI),10/04/2023 22:00,10/05/2023 10:00,PSA TERMINAL
ISEACO GENESIS,114KIS,204W,GAF Central Vietnam service (CVS) (UIH1),10/05/2023 00:00,10/05/2023 10:00,PSA TERMINAL
KOTA LUMBA,0HG8FW1MA,0106W,Asia Subcontinent Express 9 (AS9),10/05/2023 06:00,10/06/2023 02:00,PSA TERMINAL
MAERSK NASSJO,2536CN,339N,South East Asia Feeder 31 (SEASIA31),10/05/2023 05:30,10/05/2023 14:31,PSA TERMINAL
BATAMINDO V,C47J0S,83370S,Batamindo Feeder Service (BATAMAPL),10/05/2023 04:46,10/05/2023 20:45,PSA TERMINAL
HR HERA,76TQ1S,0056S,South Asia Feeder 1 (SASIA1),10/05/2023 06:30,10/05/2023 07:30,PSA TERMINAL
SCION MAFALDA,09PD3S1MA,3723S,PAX ANL (PAXANL),10/05/2023 07:00,10/06/2023 17:00,PSA TERMINAL
SOUL OF LUCK,87253E,412N,SGN-BEL Feeder Service (SGBEAPL),10/05/2023 09:00,10/05/2023 10:00,PSA TERMINAL
LL 2508,2068DR,39 JN,South East Asia Feeder 68 (SEASIA68),10/05/2023 09:00,10/05/2023 13:00,PSA TERMINAL
MARCO POLO 220,161J4S,OS078,Englee Feeder Service (MAREXT),10/05/2023 09:00,10/06/2023 10:00,PSA TERMINAL
MARCO POLO 220,161J4S,OS078,Englee Feeder Service (MAREXT),10/05/2023 09:00,10/06/2023 10:00,PSA TERMINAL
SINAR SORONG,300H9N,0191S,South East Asia Feeder 75 (SEASIA75),10/05/2023 10:00,10/06/2023 10:00,PSA TERMINAL
BATAMINDO III,C49J0S,93369S,Batamindo Feeder Service (BATAMAPL),10/05/2023 10:00,10/05/2023 12:00,PSA TERMINAL
SAMUDRA BINTAN 88,W386FN,05K23P,South East Asia Feeder 1 (SEASIA1),10/05/2023 11:30,10/06/2023 11:30,PSA TERMINAL
DANU BHUM,0RCB9N1MA,524S,Singapore Songkhla Express (RSECNC),10/05/2023 13:00,10/06/2023 09:00,PSA TERMINAL
LL 2506,K0S8DR,,South East Asia Feeder 68 (SEASIA68),10/05/2023 14:00,10/05/2023 15:00,PSA TERMINAL
GOLDEN STAR 1,7253TN,6226S,South East Asia Feeder 13 (SEASIA13),10/05/2023 17:00,10/06/2023 09:00,PSA TERMINAL
DANU BHUM,A4SE1W,524S,RCL Palembang Pasir Gudang Service (RPE2ATI),10/05/2023 18:00,10/06/2023 10:00,PSA TERMINAL
SUNRISE DRAGON,I9S8JS,,South East Asia Feeder 51 (SEASIA51),10/05/2023 18:34,10/06/2023 00:34,PSA TERMINAL
SOL STRIDE,C6SR3N,2308S,Straits Bengal Service (SBSAPL),10/05/2023 19:00,10/05/2023 20:00,PSA TERMINAL
MARCOPOLO 258,5458AR,PS040,South East Asia Feeder 49 (SEASIA49),10/05/2023 21:10,10/06/2023 11:10,PSA TERMINAL
WIDE JULIET,2665UE,033E,FAS Hercules Service (GULFHERC),10/05/2023 22:00,10/06/2023 16:00,PSA TERMINAL
SEAMAX STRATFORD,0FB9TW1MA,125W,China India Express (CIX),10/06/2023 01:30,10/07/2023 01:30,PSA TERMINAL
CMA CGM WHITE SHARK,0XL3RS1MA,0XL3RS1NC,Korea China South East Asia Service (KCSCNC),10/06/2023 02:00,10/07/2023 01:00,PSA TERMINAL
MTT SIBU,C313DN,J063S,SGSIN MYPGU SGSIN Service (PGU1APL),10/06/2023 02:00,10/06/2023 20:00,PSA TERMINAL
MTT SIBU,6051YN,J063S,South East Asia Feeder 2 (SEASIA2),10/06/2023 03:00,10/06/2023 19:00,PSA TERMINAL
SUMBER JAYA 22,W186FN,QB363,South East Asia Feeder 1 (SEASIA1),10/06/2023 03:25,10/06/2023 04:25,PSA TERMINAL
CMA CGM VALENCIA,0BYF6N1MA,0BYF6N1NC,China Korea Malaysia Service (KCM2CNC),10/06/2023 18:00,10/07/2023 12:00,PSA TERMINAL
CAPRICORN 57,W246FN,MB064,South East Asia Feeder 1 (SEASIA1),10/06/2023 07:30,10/06/2023 08:30,PSA TERMINAL
SAFEEN PIONEER,42SD5W,068W,MADRAS SERVICE 2 (MD2APL),10/06/2023 11:00,10/06/2023 19:00,PSA TERMINAL
DANUM 159,422F8R,59224A,PENANG PORT KELANG SINGAPORE SERVICE (MA5APL),10/06/2023 14:00,10/06/2023 15:00,PSA TERMINAL
KOTA RAKYAT,3592XN,0219S,South East Asia Feeder 9 (SEASIA9),10/06/2023 11:00,10/07/2023 11:00,PSA TERMINAL
NAP 310,82S8AR,,South East Asia Feeder 49 (SEASIA49),10/06/2023 15:00,10/07/2023 16:00,PSA TERMINAL
HARBOUR RUBY,0707UR,RB174,South East Asia Feeder 48 (SEASIA48),10/06/2023 13:06,10/06/2023 15:06,PSA TERMINAL
ATI BHUM,191E1W,301NE,RCL Palembang Pasir Gudang Service (RPE2ATI),10/06/2023 14:00,10/07/2023 02:00,PSA TERMINAL
CELANDINE,H0S8JN,,South East Asia Feeder 51 (SEASIA51),10/06/2023 15:45,10/06/2023 21:45,PSA TERMINAL
RITA,187I4N,040S,Manila Singapore Feeder (SSLAPL),10/06/2023 15:00,10/08/2023 11:00,PSA TERMINAL
CAPRICORN 59,W366FN,RB703,South East Asia Feeder 1 (SEASIA1),10/06/2023 15:35,10/06/2023 16:35,PSA TERMINAL
CTP FORTUNE,0RMAIR1MA,286S,RCL Manila Singapore Express (RMNCNC),10/06/2023 20:00,10/08/2023 02:00,PSA TERMINAL
INDO SUKSES 51,2942BE,086W,South East Asia Feeder 4 (SEASIA4),10/06/2023 20:30,10/07/2023 16:30,PSA TERMINAL
CAP ANDREAS,2635UW,005W,FAS Hercules Service (GULFHERC),10/06/2023 22:00,10/07/2023 18:00,PSA TERMINAL
MCP SALZBURG,09PCYS2MA,3623S,PAX ANL (PAXANL),10/06/2023 22:30,10/08/2023 22:30,PSA TERMINAL
JEJU ISLAND,0QREGN1MA,2304S,Korea Indonesia 2 Service (KI2CNC),10/07/2023 00:30,10/08/2023 00:30,PSA TERMINAL
FSL SINGAPORE,3768IN,081E,South East Asia Feeder 61 (SEASIA61),10/07/2023 03:00,10/08/2023 03:00,PSA TERMINAL
BATAMINDO V,C51J0S,,Batamindo Feeder Service (BATAMAPL),10/07/2023 04:46,10/07/2023 20:45,PSA TERMINAL
PACIFIC SUN 1,X8T1YN,,South East Asia Feeder 2 (SEASIA2),10/07/2023 07:00,10/07/2023 08:00,PSA TERMINAL
SKY WIND,681A5N,027S,GAF Bangladesh Feeder SBFX3 (SBFX3),10/07/2023 15:45,10/07/2023 18:45,PSA TERMINAL
HARBOUR EXPRESS,2394ZR,HE162,South East Asia Feeder 20 (SEASIA20),10/07/2023 09:00,10/07/2023 15:00,PSA TERMINAL
KOTA JOHAN,2362YN,0397S,South East Asia Feeder 10 (SEASIA10),10/07/2023 09:00,10/08/2023 10:00,PSA TERMINAL
NAP 910,193J4S,,Englee Feeder Service (MAREXT),10/07/2023 11:00,10/08/2023 12:00,PSA TERMINAL
BATAMINDO III,C53J0S,93371S,Batamindo Feeder Service (BATAMAPL),10/07/2023 12:00,10/07/2023 14:00,PSA TERMINAL
SOL MALAYSIA,B9TQ1S,2318S,South Asia Feeder 1 (SASIA1),10/07/2023 13:35,10/07/2023 16:35,PSA TERMINAL
SUMBER JAYA 22,W266FN,,South East Asia Feeder 1 (SEASIA1),10/07/2023 13:55,10/07/2023 14:55,PSA TERMINAL
BRIGHT LAEM CHABANG,93556S,115N,Semarang Feeder Service (SRGAPL),10/07/2023 15:00,10/08/2023 15:00,PSA TERMINAL
CAP ANDREAS,0FH9PW1MA,005W,Asia Subcontinent Express 8 (AS8),10/07/2023 14:00,10/08/2023 16:00,PSA TERMINAL
MARCOPOLO 256,5178AR,,South East Asia Feeder 49 (SEASIA49),10/07/2023 16:20,10/07/2023 17:20,PSA TERMINAL
GOLDEN STAR 1,7273TN,6227S,South East Asia Feeder 13 (SEASIA13),10/07/2023 17:00,10/08/2023 09:00,PSA TERMINAL
NAP 904,67SJ4S,,Englee Feeder Service (MAREXT),10/07/2023 17:00,10/08/2023 18:00,PSA TERMINAL
MAERSK CAPE TOWN,08YG7W1MA,338W,New Africa Express (NWAFEX),10/07/2023 19:00,10/08/2023 14:30,PSA TERMINAL
MTT SIBU,C333DW,J064S,SGSIN MYPGU SGSIN Service (PGU1APL),10/08/2023 02:00,10/09/2023 20:00,PSA TERMINAL
CMA CGM MISSOURI,0BDG3W1MA,0BDG3W1MA,Asia South America East Coast 2 (SEAS2),10/08/2023 02:30,10/08/2023 20:30,PSA TERMINAL
MTT SIBU,6071YN,J064S,South East Asia Feeder 2 (SEASIA2),10/08/2023 03:00,10/09/2023 19:00,PSA TERMINAL
KOTA RUKUN,126D3R,0112E,SINGAPORE MONGLA SERVICE (MGBAPL),10/08/2023 04:00,10/08/2023 23:00,PSA TERMINAL
KOTA NANHAI,0CS5XE1MA,0080W,South Philippines Express (SPXCNC),10/08/2023 04:00,10/09/2023 02:00,PSA TERMINAL
METHI BHUM,X4T1YN,403S,South East Asia Feeder 2 (SEASIA2),10/08/2023 06:00,10/08/2023 11:00,PSA TERMINAL
KOTA RIA,3833WW,0551E,South East Asia Feeder 15 (SEASIA15),10/08/2023 06:37,10/08/2023 08:37,PSA TERMINAL
X-PRESS HOOGLY,3868IN,23104S,South East Asia Feeder 61 (SEASIA61),10/08/2023 14:00,10/08/2023 15:00,PSA TERMINAL
SAMUDRA BINTAN 88,W466FN,10K23P,South East Asia Feeder 1 (SEASIA1),10/08/2023 07:30,10/09/2023 08:30,PSA TERMINAL
INFINITI 5,92958N,H3K01N,Singapore Pasir Gudang Service (SGPAPL),10/08/2023 08:00,10/08/2023 12:00,PSA TERMINAL
CAPRICORN 57,W326FN,MB065,South East Asia Feeder 1 (SEASIA1),10/08/2023 12:00,10/08/2023 13:00,PSA TERMINAL
MARCO POLO 252,5208AR,,South East Asia Feeder 49 (SEASIA49),10/08/2023 14:00,10/09/2023 04:00,PSA TERMINAL
SINAR PENIDA,N1S7KS,154N,South East Asia Feeder 43 (SEASIA43),10/08/2023 14:00,10/09/2023 08:00,PSA TERMINAL
ANTWERP BRIDGE,06LF5S1MA,225,KIX ANL (KIXANL),10/08/2023 20:00,10/10/2023 07:00,PSA TERMINAL
CAPRICORN 59,W446FN,RB704,South East Asia Feeder 1 (SEASIA1),10/08/2023 22:35,10/09/2023 01:35,PSA TERMINAL
EVER URSULA,04IFKE1MA,189E,Asea Kenya (ASEA2),10/09/2023 00:00,10/09/2023 20:00,PSA TERMINAL
SUNRISE DRAGON,G7S8JN,340S,South East Asia Feeder 51 (SEASIA51),10/09/2023 00:08,10/09/2023 06:08,PSA TERMINAL
BATAMINDO V,C55J0S,,Batamindo Feeder Service (BATAMAPL),10/09/2023 04:46,10/09/2023 20:45,PSA TERMINAL
PADIAN 4,2568BS,0010S,South East Asia Feeder 69 (SEASIA69),10/09/2023 06:00,10/09/2023 07:00,PSA TERMINAL
ROSA,0958ER,339N,South East Asia Feeder 67 (SEASIA67),10/09/2023 06:00,10/10/2023 04:00,PSA TERMINAL
EVER LENIENT,0AAN3W1MA,1558-057W,Asia South America East Coast 1 (SEAS),10/09/2023 09:30,10/09/2023 21:30,PSA TERMINAL
SINAR SANUR,93756S,029N,Semarang Feeder Service (SRGAPL),10/09/2023 10:00,10/10/2023 10:00,PSA TERMINAL
CAPE FORTIUS,409A3W,112E,GAF Bangladesh Feeder SBFX1 (SBFX1),10/09/2023 10:00,10/10/2023 17:00,PSA TERMINAL
SINAR BANDUNG,099KIN,796S,GAF Central Vietnam service (CVS) (UIH1),10/09/2023 11:00,10/10/2023 11:00,PSA TERMINAL
MARCOPOLO 910,151J4S,,Englee Feeder Service (MAREXT),10/09/2023 11:00,10/10/2023 12:00,PSA TERMINAL
MARCOPOLO 910,151J4S,,Englee Feeder Service (MAREXT),10/09/2023 11:00,10/10/2023 12:00,PSA TERMINAL
BATAMINDO III,C57J0S,93372S,Batamindo Feeder Service (BATAMAPL),10/09/2023 11:00,10/09/2023 16:00,PSA TERMINAL
KOTA PAHLAWAN,0BDG5W1MA,0034W,Asia South America East Coast 2 (SEAS2),10/09/2023 12:00,10/10/2023 06:00,PSA TERMINAL
PADIAN 4,2302YN,0010S,South East Asia Feeder 10 (SEASIA10),10/09/2023 15:00,10/09/2023 20:00,PSA TERMINAL
INFINITI 5,93058S,H3K02S,Singapore Pasir Gudang Service (SGPAPL),10/09/2023 18:00,10/09/2023 22:00,PSA TERMINAL
KOTA HANDAL,2548BS,0677S,South East Asia Feeder 69 (SEASIA69),10/09/2023 19:00,10/10/2023 19:00,PSA TERMINAL
KOTA HAPAS,2598BN,0046N,South East Asia Feeder 69 (SEASIA69),10/09/2023 19:00,10/10/2023 19:00,PSA TERMINAL
COSCO SHIPPING NEBULA,0PFLEE1MA,022E,French Asia Line 7 (FAL7),10/09/2023 21:00,10/10/2023 21:00,PSA TERMINAL
APL TBN 68,419J6N,796S,MALAYSIA FEEDER 3 (MA3APL),10/10/2023 01:00,10/11/2023 01:00,PSA TERMINAL
KOTA AZAM,2334QE,2320W,South East Asia Feeder 18 (SEASIA18),10/10/2023 03:06,10/10/2023 09:06,PSA TERMINAL
SUMBER JAYA 22,W346FN,,South East Asia Feeder 1 (SEASIA1),10/10/2023 03:25,10/10/2023 04:25,PSA TERMINAL
EVER DAINTY,04IFTW1MA,174W,Asea Kenya (ASEA2),10/10/2023 05:00,10/10/2023 17:00,PSA TERMINAL
MAERSK HAI PHONG,H4S6CN,339S,South East Asia Feeder 31 (SEASIA31),10/10/2023 05:00,10/11/2023 04:00,PSA TERMINAL
SINAR BINTAN,485W7N,821S,MSX BKX3 Butterfly service (MSXAPL),10/10/2023 07:00,10/11/2023 05:00,PSA TERMINAL
WAN HAI 509,1QY7MN1MA,N130,China South East Asia Loop 1 (CS1CNC),10/10/2023 08:00,10/11/2023 09:00,PSA TERMINAL
MTT SAMALAJU,3272VR,23103S,South East Asia Feeder 8 (SEASIA8),10/10/2023 08:00,10/10/2023 09:00,PSA TERMINAL
LADY OF LUCK,185W0S,225N,Thailand Indonesia Express (RCLAPL),10/10/2023 08:00,10/10/2023 18:00,PSA TERMINAL
MARCO POLO 108,5488AR,,South East Asia Feeder 49 (SEASIA49),10/10/2023 09:00,10/11/2023 06:00,PSA TERMINAL
SINAR BAJO,3382VR,004E,South East Asia Feeder 8 (SEASIA8),10/10/2023 11:00,10/11/2023 12:00,PSA TERMINAL
MARCOPOLO 3022,5268AR,,South East Asia Feeder 49 (SEASIA49),10/10/2023 16:30,10/11/2023 06:30,PSA TERMINAL
GOLDEN STAR 1,7293TN,6228S,South East Asia Feeder 13 (SEASIA13),10/10/2023 17:00,10/11/2023 09:00,PSA TERMINAL
CAPRICORN 57,W406FN,MB066,South East Asia Feeder 1 (SEASIA1),10/10/2023 21:00,10/10/2023 22:00,PSA TERMINAL
HYUNDAI VOYAGER,0QREIN1MA,138N,Korea Indonesia 2 Service (KI2CNC),10/10/2023 21:00,10/11/2023 21:00,PSA TERMINAL
ATI BHUM,193E1N,302S,RCL Palembang Pasir Gudang Service (RPE2ATI),10/10/2023 22:00,10/11/2023 10:00,PSA TERMINAL
SAMUDRA BINTAN 88,W546FN,15K23P,South East Asia Feeder 1 (SEASIA1),10/10/2023 23:30,10/11/2023 09:30,PSA TERMINAL
MTT SIBU,C353DN,,SGSIN MYPGU SGSIN Service (PGU1APL),10/11/2023 02:00,10/11/2023 20:00,PSA TERMINAL
CAPRICORN 59,W526FN,RB705,South East Asia Feeder 1 (SEASIA1),10/11/2023 02:05,10/11/2023 12:05,PSA TERMINAL
MTT SIBU,6091YN,,South East Asia Feeder 2 (SEASIA2),10/11/2023 03:00,10/11/2023 19:00,PSA TERMINAL
PACIFIC SUN 1,Y0T1YN,,South East Asia Feeder 2 (SEASIA2),10/11/2023 05:00,10/12/2023 05:00,PSA TERMINAL
WAN FU DA,4224YN,197N,Vietnam Singapore Feeder (VS2APL),10/11/2023 05:00,10/12/2023 09:00,PSA TERMINAL
BATAMINDO V,C59J0S,,Batamindo Feeder Service (BATAMAPL),10/11/2023 04:46,10/11/2023 20:45,PSA TERMINAL
MARCOPOLO 182,70755R,,Feeder of IDTTI to SGSIN (TTIAPL),10/11/2023 07:00,10/11/2023 18:00,PSA TERMINAL
APL DUBLIN,0PPGPE1MA,0PPGPE1MA,Pacific East Coast 2 (PEX2),10/11/2023 07:00,10/12/2023 07:00,PSA TERMINAL
SINAR SIANTAR,87453E,023N,SGN-BEL Feeder Service (SGBEAPL),10/11/2023 08:00,10/11/2023 11:00,PSA TERMINAL
CMA CGM BLUE WHALE,1QY7NS1MA,1QY7NS1NC,China South East Asia Loop 1 (CS1CNC),10/11/2023 09:00,10/12/2023 09:00,PSA TERMINAL
SOUL OF LUCK,02S53W,,SGN-BEL Feeder Service (SGBEAPL),10/11/2023 09:00,10/12/2023 16:00,PSA TERMINAL
BATAMINDO III,C61J0S,,Batamindo Feeder Service (BATAMAPL),10/11/2023 09:00,10/11/2023 16:59,PSA TERMINAL
SINAR SUNDA,4174YS,150S,Vietnam Singapore Feeder (VS2APL),10/11/2023 12:00,10/11/2023 16:00,PSA TERMINAL
KOTA PELANGI,0BDFOE1MA,0034E,Asia South America East Coast 2 (SEAS2),10/11/2023 12:00,10/12/2023 07:00,PSA TERMINAL
SUMBER JAYA 2518,0983QR,S364N,South East Asia Feeder 58 (SEASIA58),10/11/2023 13:00,10/11/2023 17:00,PSA TERMINAL
KOTA DUNIA,3453WW,0467W,South East Asia Feeder 15 (SEASIA15),10/11/2023 13:30,10/11/2023 14:30,PSA TERMINAL
SOL PIONEER,107R3N,2306S,Straits Bengal Service (SBSAPL),10/11/2023 14:00,10/11/2023 18:00,PSA TERMINAL
NORDBORG MAERSK,2456CN,340N,South East Asia Feeder 31 (SEASIA31),10/11/2023 15:00,10/12/2023 00:01,PSA TERMINAL
SINAR SIANTAR,87553W,023N,SGN-BEL Feeder Service (SGBEAPL),10/11/2023 16:00,10/12/2023 17:00,PSA TERMINAL
X-PRESS KAILASH,41SQ5E,23039E,South Asia Feeder 5 (SASIA5),10/11/2023 19:00,10/12/2023 19:00,PSA TERMINAL
MARCOPOLO 148,5358AR,,South East Asia Feeder 49 (SEASIA49),10/11/2023 22:00,10/12/2023 12:00,PSA TERMINAL
